,Unnamed: 0,Company,Salary,JobTitle,Location,Job Description,Rating,Industry,Size,Founded,Revenue
0,0,Dassault Systèmes,$113K - $166K (Glassdoor est.),Principal Software Engineer SIMULIA,"Waltham, MA","Imagine new horizons.

Do you have dreams? Do you enjoy challenges? Here at Dassault Systèmes, we empower people with passion to change the world.

Help us reimagine PowerACOUSTICS, a world leader in solving acoustical design challenges through simulation.

As a Principal Software Engineer the software you build will help engineers and scientists solve acoustics-related product design challenges: for instance, making cars, planes, or HVAC systems quieter than ever before. There will be a consistent emphasis on usability and on facilitating automation, to make design optimization incredibly fast and powerful.






Show More
Report",4.0,Company - Public,10000+ Employees,1981,$1 to $5 billion (USD)
2,2,KBR,$79K - $115K (Glassdoor est.),Software Engineer,"Lexington Park, MD","Title:
Software Engineer
KBR is seeking a Software Engineer to join our Team!
You will be a high-performing member of Systems Engineering team supporting NAVAIR PMA-231 with the Advanced Hawkeye Command and Control platform. You will team with Systems and Software Engineering professionals in providing technical support for all phases of systems and software requirements development, conducting independent technical analyses, evaluation, and assessment of system/software requirements, requirements development, documentation and verification.
Generates and assists in the development of Statement of Work (SOW) language and Technical Assessment Reports (TAR) documents.

Show More
Report",3.9,Company - Public,10000+ Employees,1901,$5 to $10 billion (USD)
4,4,PeopleConnect,$154K - $185K (Employer est.),Sr. Software Engineer II ~ HYBRID in San Diego,"San Diego, CA","PeopleConnect is looking for a Senior Software Engineer II to join our award-winning team to support our People Search division. This position reports to the SVP of Engineering for PeopleConnect. This is a unique opportunity for a highly experienced Senior Software Engineer who is ready to take the helm of our largest business unit to propel the success of our growing team. Sound interesting? If so, read on!
People Search is an award-winning web development division in our PeopleConnect portfolio that services over one million customers nationwide. Our cutting-edge technology connects, informs and protects people &mdash; both online and off. Our websites are consistently ranked in the top 500 top traffic sites in the US. Our products have been featured on the Discovery Channel, Mashable, Vice, Entrepreneur, Business Insider &mdash; and even made a cameo in a Disney animated comedy! A pioneer of new ideas, we’re constantly looking to develop and deploy innovative strategies and solutions. Our people and culture are second to none: we’re innovative, creative, collaborative, and talented. Together &mdash; we work magic!


















Show More
Report",2.7,Internet & Web Services,51 to 200 Employees,Company - Private,-1
